id,coder,citations_2023,year,title,RQ,main_goal_keyword,main_goal_sentence,task,experimental_conditions,results,N_groups,N_individuals,feedback,study_setting,contributions,motivation,subject_demographics,broader_implications,inference_for_future_practice,data,sensor,brand,metric,metric_smaller_category,metric_larger_category,metric_IG_category,metric_IG_specific,data_per_metric,outcome_name,outcome_instrument,outcome_smaller_category,outcome_larger_category,outcome_significance,analysis_and_results,test_type_standard,test_grouped
29,bertrand,67,2016,Using Mobile Eye-Trackers to Unpack the Perceptual Benefits of a Tangible User Interface for Collaborative Learning,"— H1: students will better memorize a warehouse’s layout if it is presented as a 3D tangible model.
— H2: when asked to build a warehouse, students will better be able to optimize its layout when using tangible shelves compared to paper ones.
— H3: students will learn more from the task when using tangible shelves.",Metric-construct connection; Observe learning,"The hypothesis behind our study is that tangible interfaces have unique perceptual affordances. We argue that providing a realistic representation of a problem can help students better understand and analyze a complex system. When using 2D paper shelves, we remove the “realistic” aspect of the system while keeping all other parameters mostly unchanged. This allowed us to study the impact of interacting with a small-scale warehouse versus interacting with an augmented diagram",Designing and optimize warehouse layouts,"Participants interacted with
1) 2D paper shelves
2) 3D physical shelves","We found that participants in the first group (i.e. who used 3D realistic shelves) better memorized a warehouse layout, built a more efficient model, and scored higher on a learning test. Additionally, students wore eye-tracking goggles while completing those tasks; preliminary results suggest that 3D interfaces increased joint visual attention, which was found to be a significant predictor for participants’ task performance and learning gains.",G=27,I=54,NS,lab,Model/metric,We need a [better] understanding of how people behave / We need a deeper understanding of construct X; We need a [better] way of measuring / detecting / predicting something,Apprentices in a vocational training program; age mean 19.07,"our results also open the door to the development of new systems in the realm of vocational training education. There is a wide breath of spatial domains where TUIs could help students more easily grasp complex concepts, especially at the introductory level.",NS,I) Eye Gaze,I) Eye Tracker,I) SMI,1) Joint Visual Attention,1) Visual Attention,1) Gaze,1) Group,1) synchro,1) I,"a) task performance
B) learning gain","a) computation
B) survey","a) performance
B) learning","a) product
B) product","a) 1
B) 1","1-A: correlation->sig
1-B: correlation->sig","correlation
correlation","correlation_regression
correlation_regression"
30,edwin,35,2016,Personality classification and behaviour interpretation: An approach based on feature categories,Recognizing and understanding social dimensions (the personality traits and social impressions) during small group interactions.,Model-building,Our research interest focuses on the prediction of personality traits and social impressions of participants during small group interactions.,Winter survival task: rank twelve items important for surviving a airplane crash in harsh winter conditions.,NS,Our experiments show that the combination of intra-personal and one vs all features can greatly improve the prediction accuracy of personality traits and social impressions. Prediction accuracy reaches 81.37% for the social impression named 'Rank of Dominance'.,G=27,I=102,NS,lab,Model/metric; Algorithm,We need [better] way of measuring / detecting / predicting something,NS,"There are three main contributions in this paper. Firstly, we propose a new approach to analyse the relationships between social behaviour features and personality traits/social impressions by using a new feature categorisation, which claries the study of the influence of intra-personal and interpersonal features during social interaction. Secondly, by analysing and interpreting the prediction results, we draw interesting conclusions about the relationships between personality traits/social impressions and related social features Finally, we show that our novel categorisation of features improves the prediction accuracy of personality traits and social impressions.",NS,"II) Video
III) Audio","II) Camera
III) Microphone","II) NS
III) NS","1) Intra-Personal Features
2) Dyadic Features
3) One Vs All Features","1) Facial Expressions
2) Facial Expressions
3) Speech Features","1) Head
2) Head
3) Verbal","1) Individual
 2) Group
 3) Group","1) pure_indiv
2) synchro
3) synchro","1) II, III
2) II, III
3) II, III","a) personality
B) social perception","a) survey
B) survey","a) group composition
B) interpersonal relationship","a) condition
B) process","a) 1
B) 1","1-A: regression: 73.53%->sig
1-B: regression: 76.47%->sig
2-A: regression: 60.54%->sig
2-B: regression: 66.42%->sig
3-A: regression: 65.69%->sig
3-B: regression: 73.53%->sig","regression
regression
regression
regression
regression
regression","correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression"
31,bertrand,65,2008,Investigating Automatic Dominance Estimation in Groups From Visual Attention and Speaking Activity,visual dominance ratio (VDR) can estimate dominance in multi-party group discussions where natural verbal exchanges occur ,Model-building,"we investigate a model for visually dominant be- haviour, grounded in findings from social psychology, using fully automatic audio and visual cues to assess whether the most dominant person can be reliably detected when there are varying degrees of agreement in human perceptions of dominance.",We used meeting data from the publicly available AMI meeting corpus [4] ,NS,Our findings suggest that fully au- tomated versions of these measures can estimate effectively the most dominant person in a meeting and can approxi- mate the dominance estimation performance when manual labels of visual attention are used.,G=91, I=?,NS,lab,Model/metric,"Understanding these constructs (e.g., dominance) in automatic systems is desirable for tasks such as for improving task-oriented group effectiveness or remote meeting scenarios ",NS,NS,NS,"II) Video
III) Audio","II) Camera
III) Microphone","II) NS
III) NS","1) Audio Energy Features
2) Visual Attention","1) Speech Features
2) Visual Attention","1) Verbal
2) Gaze","1) Individual
 2) Individual","1) pure_indiv
2) pure_indiv","1) III
2) II",a) dominance,a) human evaluation,a) group composition,a) condition,a) 1,"1,2-A: sup. machine learning: (79.4%)->sig",machine learning,machine-learning
32,steph,14,2017,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,Can superficial measures of speech and user interactions of students measure collaboration? ,Model-building,We tested whether superficial measures of speech and user interactions of students would suffice for measuring collaboration.,mathematical task: Positioning a set of cards so that all cards in a row describe the same process,NS,"Using just the speech and tablet log data, several detectors were machine learned and achieved an overall accuracy of 96% (Kappa=0.92), which is higher than earlier attempts to use speech and log data for detecting collaboration",G=14, I=28,NS,lab,Model/metric,We need a [better] way of measuring /detecting / predicting something,University students,NS,NS,"II) Video
III) Audio
V) Log Data
XII) Other","II) Camera
III) Microphone
V) Digital Pen
XII) Digital Pen","II) NS
III) NS
V) Fact - Formative Assessment Using Computational Technology
XII) NS","1) Card Movements
2) Scrolling
3) Zooming
4) Audio Features","1) Task-Related 
2) Task-Related 
3) Task-Related 
4) Speech Features","1) Log Data
2) Log Data
3) Log Data
4) Verbal","1) Individual
 2) Individual
 3) Individual
 4) Individual","1) pure_indiv
2) pure_indiv
3) pure_indiv
4) pure_indiv","1) V
2) V
3) V
4) III","a) collaboration
B) asymmetric contribution
c) cooperation","a) human evaluation
B) human evaluation
c) human evaluation","a) coordination
a) communication
B) coordination
c) coordination","a) process
B) process
c) process","a) 1
B) 1
c) 1","1+2+3+4-A+C: sup. machine learning: (96%)->sig
1+2+3+4-A+B+C: sup. machine learning: (86%)->sig","machine learning
machine learning","machine-learning
machine-learning"
33,edwin,22,2018,Using Interlocutor-Modulated Attention BLSTM to Predict Personality Traits in Small Group Interaction,Can interlocutor-modulated attention BLSTM (IM-aBLSTM) be used to predict personality traits in the ELEA corpus?,Model-building,"In this work, we present a network architecture of interlocutor-modulated attention BLSTM (IM-aBLSTM) that captures both the target speaker’s self vocal behaviors and his/her interactive behaviors with other group members jointly to improve the prediction of the target speaker’s personality traits.",Winter survival task: rank twelve items important for surviving a airplane crash in harsh winter conditions.,NS,"Our framework achieves a promising unweighted recall accuracy of 87.9% in ten different binary personality trait prediction tasks, which outperforms the best results previously reported on the same database by 10.4% absolute. Finally, by analyzing the interpersonal vocal behaviors in the region of high attention weights, we observe several distinct intra- and inter-personal vocal behavior patterns that vary as a function of personality traits.",G=28, I=112,NS,lab,Algorithm,We need a [better] way of measuring /detecting / predicting something,NS,This work presents a preliminary personality prediction result by modeling vocal behaviors between interlocutors via embedding interaction-based attention mechanism in a BLSTM.,"Our future work will focus on leveraging multiple behavior modalities to advance our algorithm in modeling the relationship between target speaker and interlocutors to improve regression correlations across these ten personality traits. Additionally, we would also investigate algorithmic frameworks that jointly models individual behaviors at the group level to predict the final group performance outcome as they engage in a variety of small group interaction contexts.",III) Audio,III) NS,III) NS,1) Speech Utterances,1) Speech Content,1) Verbal,1) Individual,1) pure_indiv,1) III,a) personality,a) survey ,a) group composition,a) condition,a) 1,1-A: sup. machine learning: (87.9%)->sig,machine learning,machine-learning
34,steph,21,2019,Dynamics of Visual Attention in Multiparty Collaborative Problem Solving using Multidimensional Recurrence Quantification Analysis,"How does group-level gaze-UI regularity, defined as the dynamics of teams’ collective attention aligned with changes in the UI, predict collaborative problem-solving processes and outcomes after accounting for individual-level gaze coupling with the UI and other covariates (e.g. verbosity)?","Design, model-building",We investigate teams’ multidimensional patterns of visual attention during a collaborative problemsolving task with an eye for leveraging insights to improve collaborative interfaces.,Minecraft hour of code,1) controlling screen 2) watching screen,"We quantified not only how a team member individually coupled his or her attention with UI changes, but also repeated patterns in the triad’s attention in context with UI changes.",G=37,I=111,NS,lab,Model/metric,We need a [better] way of measuring / detecting / predicting something,University students,Our work is novel by providing a computational assessment of complex computer-mediated collaboration from the lens of triadic visual attention,The next step is to leverage these findings to develop intelligent collaborative user interfaces that monitor the unfolding collaboration and launching interventions to improve the collaborative process and outcomes.,I) Eye Gaze,I) Eye Tracker,I) Eyetribe,"1) Gaze Area Of Interest 
2) Cross-Recurrence Quantification Analysis
3) Multidimensional Recurrence Quantification Analysis","1) Visual Attention
2) Visual Attention
3) Visual Attention","1) Gaze
2) Gaze
3) Gaze","1) Individual
 2) Group
 3) Group","1) pure_indiv
2) synchro
3) synchro","1) I
2) I
3) I","a) construction of shared knowledge
B) negotiation
c) coordination
D) performance
E) performance","a) human evaluation
B) human evaluation
c) human evaluation
D) human evaluation
E) learning test ","a) coordination
B) communication
c) coordination
D) performance
E) learning","a) process
B) process
c) process
D) product
E) product","a) 1
B) 1
c) 1
D) 0
E) 1","2-A: regression->sig 
3-B: regression->sig
3-C: regression->sig
2-D: regression->non
2-E: regression->sig
2-D: regression->non
2-E: regression: nosig","regression
regression
regression
regression
regression
regression
regression","correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression"
35,steph,97,2013,Emergent leaders through looking and speaking: from audio-visual data to multimodal recognition,"Can an analysis of speaking activity features, visual attention features, and multimodal features that rely on the audiovisual synchrony be used to estimate an emergent leader?",Model-building,"In this work, we report the performance in the emergent leader inference using social attention automatically extracted from audio-visual features (e.g. looking at participants while speaking) and using a subset of the ELEA corpus. Additionally, we describe the annotations collected from external observers and we present the perception of the emergent leader from the external observers’ point of view",Survival task,NS,"Although the multimodal features are not the best descriptor of leadership, nor of dominance, they provide some information about the perceived leadership during the interaction, such that being the center of attention while speaking correlates with being perceived as the leader",G=19,I=85,NS,lab,"Dataset, Model/metric",We need a [better] way of measuring / detecting / predicting something,University; age mean 23.1; male 54 female 31,"As future work, the effect of other interesting automatically extracted features, including floor patterns and emotional states on estimating the leader in the group can be investigated.",NS,"III) Audio
II) Video","III) Microphone
II) Camera","III) Dev-Audio
II) Logitech Webcam Pro 9000","1) Speaking Activity
2) Visual Attention
3) Audio-Visual","1) Speech Participation
2) Visual Attention
3) Visual Attention","1) Verbal
2) Gaze
3) Gaze","1) Individual
 2) Individual
 3) Individual","1) pure_indiv
2) pure_indiv
3) pure_indiv","1) II, III","a) personality 
B) group interaction
c) dominance
D) task performance
E) leadership","a) survey
B) survey 
c) survey
D) human evaluation
E) survey","a) group composition
B) interpersonal relationship
c) interpersonal relationship
D) performance
E) interpersonal relationship","a) condition
B) process
c) process
D) product
E) process","a) /
B)/
c) 0
D) /
E) 0","1,3-E: sup. machine learning: (50%)->non
1,3-C: sup. machine learning: (59.1%)->sig","machine learning
machine learning","machine-learning
machine-learning"
36,bertrand,32,2019,Predicting the Quality of Collaborative Problem Solving Through Linguistic Analysis of Discourse,"RQ1: Are Coh-Metrix indices derived from transcripts of discourse between co-located partners related to the quality of their ollaboration and learning gains?
RQ2: Are Coh-Metrix indices different across experimental conditions?
RQ3: Are Coh-Metrix indices associated with MMLA measures (e.g., Joint visual attention, physiological synchrony, nonverbal behaviors) that were previously significantly correlated with collaboration quality?
RQ4: What Coh-Metrix indices are most meaningful for estimating a group’s collaboration?
RQ5: Can Coh-Metrix indices be used to train supervised machine learning algorithms to predict collaboration quality?",Observe learning,"Analyzing this discourse can give insights into how consensus is reached and can estimate the depth of their understanding of the problem. This study uses Coh-Metrix, a natural language processing tool that measures cohesion, to analyze participant discourse",novice programmers collaborated to use a block-based programming language to instruct a robot on how to solve a series of mazes,Speech awareness tool vs no awareness tool,"We significantly correlated thirty-five Coh-Metrix indices from the transcripts of dyads' discourse with collaboration, learning gains, and multimodal sensor values. We then fit a variety of machine learning classifiers to predict collaboration using the indices generated by Coh-Metrix as features. ",G=40, I=80,real-time,lab,Model/metric,We need a [better] understanding of how people behave / We need a deeper understanding of construct X,College students,"This research paves the way for real-time detection of (un)productive interactions from multimodal data, potentially facilitating the development of fail-soft real-time interventions to support collaborative learning. ",NS,"I) Eye Gaze
III) Audio
IV) Kinesiology
VI) EDA","I) Eye Tracker
III) Microphone
IV) Kinect
VI) Smart Wristband","I) Tobii
III) Microsoft Kinect
IV) Microsoft Kinect
VI) Empatica E4","1) Coh-Metrix Indices
2) Physical Synchrony
3) Physiological Synchrony
4) Joint Visual Attention","1) Speech Features
2) Gross Body Motion
3) EDA
4) Visual Attention","1) Verbal
2) Body
3) Physiological
4) Gaze","1) Individual
 2) Group
 3) Group
 4) Group","1) pure_indiv
2) synchro
3) synchro
4) synchro","1) III
2) IV
3) VI
4) I","a) learning gain
B) collaboration
c) conversational features","a) survey
B) human evaluation
c) computation ","a) learning
B) coordination
B) communication
B) engagement
B) interpersonal relationship
c) communication","a) product
B) process
c) process","a) 1
B) 1
c) 1","1-A: correlation->sig
1-B: correlation->sig
1-C: correlation->sig
2-C: correlation->sig
3-C: correlation->sig
4-C: correlation->sig
2-B: sup. machine learning: 84%->sig","correlation
correlation
correlation
correlation
correlation
correlation
machine learning","correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
machine-learning"
37,callie,58,2014,Shared Experiences of Technology and Trust: An Experimental Study of Physiological Compliance Between Active and Passive Users in Technology-Mediated Collaborative Encounters,"Does task/technology conditions (specifically, task demand and technology reliability) affects the level of group PC?
Is PC of a group is positively related to the performance of the group after controlling for effects of task/technology conditions?
Is the PC of a group related to how the passive user estimates the active user’s workload?
Is the PC of a group related to the shared perception about the trustworthiness of the technology among the group members.",Scientific hypothesis testing; Metric-construct connection,"This study aimed to understand the process of joint activity, using PC measures, in technologically complex environments that include active and passive users. This study also investigated how PC relates to task performance and the subjective experience of the group.",psycho-motor tasks in a modified version of the Multiattribute Task Battery (MATB) program,"1) normal condition
2) hard condition
3) low reliability condition",Results indicate that PC is related to group performance after controlling for task/technology conditions. PC is also correlated with shared perceptions of trust in technology among group members.,G=24, I=48,NS,lab,Model/metric,We need a [better] understanding of how people behave / We need a deeper understanding of construct X,College,This study has implications for understanding effective collaboration.,"Technology could play a supportive role in this regard by supporting passive users’ sensitivity to active users’ workload, such as when a teammate is deciding whether or not to interrupt another teammate","VI) EDA
VII) ECG","VI) Wearable Sensor
VII) Wearable Sensor","VI) Mp150 Data Acquisition System
VII) Mp150 Data Acquisition System","1) signal matching - EDA
2) instantaneous derivative matching - EDA
3) directional agreement - EDA
4) cross correlation - EDA
5) weighted coherence - EDA
6) signal matching - Hr
7) instantaneous derivative matching - Hr
8) directional agreement - Hr
9) cross correlation - Hr
10) weighted coherence - Hr Low Frequency
11) weighted coherence - Hr High Frequency","1) EDA
2) EDA
3) EDA
4) EDA
5) EDA
6) Heart
7) Heart
8) Heart
9) Heart
10) Heart
11) Heart","1) Physiological
2) Physiological
3) Physiological
4) Physiological
5) Physiological
6) Physiological
7) Physiological
8) Physiological
9) Physiological
10) Physiological
11) Physiological","1) Group
 2) Group
 3) Group
 4) Group
 5) Group
 6) Group
 7) Group
 8) Group
 9) Group
 10) Group
 11) Group","1) synchro
2) synchro
3) synchro
4) synchro
5) synchro
6) synchro
7) synchro
8) synchro
9) synchro
10) synchro
11) synchro","1) VI
2) VI
3) VI
4) VI
5) VI
6) VII
7) VII
8) VII
9) VII
10) VII
11) VII","a) task performance
B) workload","a) task outcome
B) survey ","a) performance
B) engagement","a) product
B) process","a) 0
B) 0","1-A: LME->non
2-A: LME->non
3-A: LME->sig
4-A: LME->non
5-A: LME->non
6-A: LME->non
7-A: LME->non
8-A: LME->non
9-A: LME->non
10-A: LME->non
11-A: LME->non
1-B: LME->non
2-B: LME->non
3-B: LME->non
4-B: LME->non
5-B: LME->non
6-B: LME->non
7-B: LME->non
8-A: LME->non
9-A: LME->non
10-A: LME->non
11-A: LME->non","LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME","correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression"
38,edwin,42,2017,Using Multimodal Learning Analytics to Identify Aspects of Collaboration in Project-Based Learning,Which features of MMLA are good predictors of collaborative problem-solving in open-ended tasks in project-based learning?,Design,"One of the aims of the project is to develop learning analytics tools for hands- on, open-ended STEM and STEAM learning activities using physical computing.",Prototype an interactive toy,NS,"In this research study, we presented that where the students are looking, the distance between them, the motion of their hands our key features for a learning analytics system to be effectively used to identify collaboration in small groups of Engineering students.",G=12, I=36,NS,lab,Tool/application,We want something that changes people’s behavior / Need to improve existing practices,College; age mean 20; male 17 female 1,These results are significant for the CSCL community as a starting point to investigate further what features of MMLA can be used to support collaborative learning providing insights about the physical and embodied processes involved in hands-on learning and how.,NS,II) Video,II) Camera,II) NS,"1) Count Of Faces Looking At Screen
2) Distance Between Learners
3) Mean Distance Between Hands (dbh)
4) Hand Motion Speed","1) Visual Attention
2) Location
3) Hand Motion
4) Hand Motion","1) Gaze
2) Body
3) Body
4) Body","1) Group
 2) Group
 3) Individual
 4) Individual","1) synchro
2) synchro
3) pure_indiv
4) pure_indiv","1) II
2) II
3) II
4) II","a) engagement
B) synchronisation
c) individual accountability","a) human evaluation
B) human evaluation
c) human evaluation","a) engagement
B) interpersonal relationship 
c) coordination","a) process
B) process
c) process","a) 1
B) 1
c) 1","3-C: regression->sig
3-B: regression->sig
1,3-B: regression->sig
3-A: regression->sig","regression
regression
regression
regression","correlation_regression
correlation_regression
correlation_regression
correlation_regression"
39,edwin,44,2016,Modeling Collaboration Patterns on an Interactive Tabletop in a Classroom Setting,Can the quality of groups’ collaborative learning processes be detected using touch data alone?,Metric-construct connection,"In this paper, we present a follow-up study conducted in a classroom field setting with high school students to find out if these touch interaction patterns continue to reflect collaborative learning processes beyond the original lab setting.",To design and build a website around a topic of their choosing,"1) Microsoft PixelSense SDK
2) Web browser-based",We found that two of the touch patterns in combination—Unrelated Touches and a modified version of Overlapping Sequences—were clearly associated with quality of collaboration in up to 84.2% of cases.,G=13, I=16,NS,eco,Model/metric,We need a [better] way of measuring / detecting / predicting something,High School; female 10 male 6,NS,"As well as helping groups of students to improve their collaboration processes, the approach to detecting collaboration quality described in this paper could be used to help teachers to monitor small group work in their classroom.",V) Log Data,V) Touch Screen,V) Microsoft Pixelsense Sdk,1) Touch Patterns,1) Touch,1) Log Data,1) Individual,1) pure_indiv,1) V,a) social regulation,a) human evaluation,a) coordination,a) process,a) 1,1-A: computation: (84.2%)->sig,computation,descriptive
40,steph,26,2018,Toward Using Multi-Modal Learning Analytics to Support and Measure Collaboration in Co-Located Dyads,"Do visualizations of participant participation influence critical constructs captured by traditional and multi-modal measurement techniques such as collaboration quality, task understanding and learning gains?",Scientific Hypothesis Testing,We explored 2 interventions to support their collaboration: a real-time visualization of their verbal contribution and a short verbal explanation of the benefits of collaboration for learning. ,Use block-based programming to navigate a simple robot through a series of mazes,"1) speech equity visualization (SEV) + informational collaboration intervention (ICI)
2) SEV
3) ICI
4) none","Analysis of researcher’s coding of participants’ collaboration quality found that while collaboration quality improved for both groups that received the informational intervention, there was no significant improvement of collaboration quality for the groups that received the visualization intervention and no significant advantage conferred to the group that experienced both interventions.",G=42, I=84,real-time,lab,Tool/application,We want something that changes people’s behavior / Need to improve existing practices,College and members of community; age mean 26.7; female 60%,"We collected a rich multi-modal dataset that can be used to build proxies for measuring effective collaborations. As a preliminary analysis, we found that various indicators captured by the Kinect sensor were correlated with participants’ quality of collaboration (e.g., amount of talking and movements)",NS,"III) Audio
I) Eye Gaze
VI) EDA
IV) Kinesiology","III) Kinect
I) Eye Tracker
VI) Wearable Sensor 
IV) Kinect","III) Kinect
I) Tobii Eye Trackers
VI) Empatica E4
IV) Microsoft Kinect","1) Total Movement Across Upper Body Joints And Body Parts
2) Talking Time","1) Gross Body Motion
2) Speech Participation","1) Body
2) Verbal","1) Individual
 2) Individual","1) pure_indiv
2) pure_indiv","1) IV
2) III",a) collaboration quality,a) human evaluation ,"
a) coordination
a) communication
a) engagement
a) interpersonal relationship",a) process,a) 1,"1-A: correlation->sig
2-A: correlation->sig","correlation
correlation","correlation_regression
correlation_regression"
41,steph,1,2019,An Alternate Statistical Lens to Look at Collaboration Data: Extreme Value Theory,"How can the extreme values (i.e., the moments with extremely high or extremely low values) of eye-tracking data during collaobration inform us of the students’ learning gains?",Model-building,To propose two types of shifts from the traditional analyses of how visual focus of peers is related to collaborative outcomes. ,"1) collaborative concept-map building activity
2) problem-solving activity around fractions using a networked collaborative ITS",NS,In both datasets we found that students with lower outcomes had lower focus during the collaborative session,G=24,I=48,NS,lab,Algorithm,We need a [better] way of measuring / detecting / predicting something,"1) NS
2) 4th and 5th grade",This paper contributes to the CSCL literature by providing an alternate method for analysing relationships between process and outcome data that complements existing methodology while also extending our understanding of the relationship between visual focus and collaborative outcomes.,NS,I) Eye Gaze,I) Eye Tracker,I) NS,1) Evt Of Spatial Entropy,1) Visual Attention,1) Gaze,1) Individual,1) pure_indiv,1) I,"a) collaboration outcome
B) learning gain","a) task outcome
B) learning test ","a) performance
B) learning","a) product
B) product","a) 1
B) 1","1-A: regression->sig
1-B: regression->sig","regression
regression","correlation_regression
correlation_regression"
42,iulian,106,2019,Going beyond what is visible: What multichannel data can reveal about interaction in the context of collaborative learning?,"1) How do phase of working and type of interaction relate to simultaneous occurrence of arousal among group members? 2) What types of facial expression (positive, negative, or neutral) are observed when arousal occurs simultaneously among group members? 3) How does regulation of learning appear during interaction when arousal occurs simultaneously among group members?",Model-building,"They ""investigate whether physiological sensors in combination with facial expression recognition data can shed light on the quality of social interaction during collaborative learning""","“Design a perfect breakfast for a
marathon runner.”",NS,"The results show that simultaneous arousal episodes occurred throughout phases of collaborative learning and the learners presented the most negative facial expressions during the simultaneous arousal episodes. Most of the collaborative interaction during simultaneous arousal was low-level, and regulated learning was not observable. However, when the interaction was high-level, markers of regulated learning were present; when the interaction was confused, it included monitoring activities. This",G=16, I=48,NS,NS,Model/metric,We need a [better] way of measuring / detecting / predicting something,high school students; 27 females 21 males; (Mean age=17.4 years; SD=0.67),NS,"This study demonstrates that new technologies such as facial recognition software and physiological signals can be used unobtrusively in collaborative learning contexts to capture episodes that may reveal regulated learning or the need to activate it. In the future, this type of multichannel data should be used for validating contextual data, and students’ own interpretations of simultaneous arousal episodes would provide valuable insights for data interpretation","II) Video
III) Audio
VI) EDA","II) Camera
III) Microphone
VI) Wearable Sensor","II) 360 Video Camera Moore System
III) 360 Video Camera Moore System
VI) Empatica E3","1) Facial Expression
2) Physiological Simultaneous Arousal","1) Facial Expressions
2) EDA","1) Head
2) Physiological","1) Individual
 2) Group","1) pure_indiv
2) synchro","1) II
2) VI","a) type of working activity
B) group interaction","a) human evaluation
B) human evaluation","a) coordination
B) coordination","a) process
B) process","a) 0
B)0","1-A: computation->non
1-B: ANOVA->sig
2-A: computation->non
2-B: computation->non","computation
ANOVA
computation
computation","descriptive
between-group
 descriptive
 descriptive"
43,iulian,11,2019,Task-independent Multimodal Prediction of Group Performance Based on product Dimensions,Can we develop prediction models of outputting the performance for multiple group meeting tasks that do not have a clear correct answer ?,Model-building,"This paper proposes an approach to develop models for predicting the performance for multiple group meeting tasks, where the model has no clear correct answer","Different types of planning tasks, part of MATRICS corpus",NS,The results find that a support vector regression model archived a 0.76 correlation in the discussion-task-dependent setting and 0.55 in the task-independent setting,G=30, I=40,NS,lab,Algorithm,We need a [better] way of measuring / detecting / predicting something,NS (see MATRICS corpus),NS,We need a [better] way of measuring / detecting / predicting something,"III) Audio
IV) Kinesiology
V) Log Data","III) Microphone
IV) Wearable Sensor
V) Digital Pen","III) NS
IV) NS 
V) NS","1) Speaking Turn Features
2) Acoustic Features
3) Head Motion Features
4) Linguistic Features","1) Speech Participation
2) Speech Features
3) Head Motion
4) Speech Content","1) Verbal
2) Verbal
3) Head
4) Verbal","1) Group
 2) Individual
 3) Individual
 4) Individual","1) indiv_freq_in_group
2) pure_indiv
3) pure_indiv
4) pure_indiv","1) III
2) III
3) IV
4) V",a) task performance,a) human evaluation,a) performance,a) product,a) 1,1*2*3*4-A: unsup. machine learning->sig,machine learning,machine-learning
